id,time,type,prev_id,Engagement_index,Hop,Non_follower
4922727366,48984,like,4922727366,0,1,0
251017624,48984,like,251017624,0,0,1
1143307243,48984,like,1143307243,0,2,0
1504591927286583303,48984,like,1504591927286583303,0,0,1
3354268133,48984,like,3354268133,0,2,0
1002653132076343296_1,48984,like,1002653132076343296,1,1,0
76149092,48984,like,76149092,0,1,0
3307984216,48984,like,3307984216,0,0,1
772975489690370048,48984,like,772975489690370048,0,1,0
991762398242590720,48984,like,991762398242590720,0,1,0
2818861322,48984,like,2818861322,0,1,0
2391435037,48984,like,2391435037,0,0,1
165745474,48984,like,165745474,0,2,0
45973905,48984,like,45973905,0,0,1
1436436287339249666,48984,like,1436436287339249666,0,2,0
35133460,49056,like,35133460,0,2,0
1227764850_1,49056,like,1227764850,1,2,0
1639310375102431239_1,49056,like,1639310375102431239,1,1,0
784221976726429696_1,49056,like,784221976726429696,1,2,0
1247676775,49056,like,1247676775,0,1,0
1259832329738035202,49056,like,1259832329738035202,0,3,0
1557978599252271104_1,49056,like,1557978599252271104,1,0,0
4488731236,49056,like,4488731236,0,2,0
71421274,49056,like,71421274,0,1,0
2380948346,49056,like,2380948346,0,1,0
1057384134086193152,49056,like,1057384134086193152,0,2,0
3403295147,49129,like,3403295147,0,1,0
790474743887589376,49129,like,790474743887589376,0,1,0
1310015224389529605,49129,like,1310015224389529605,0,1,0
2885016635,49129,like,2885016635,0,1,0
1201270464,49129,like,1201270464,0,1,0
1370398976810348548_1,49129,like,1370398976810348548,1,0,0
369457905_1,49129,like,369457905,1,1,0
1531201513623851008,49129,like,1531201513623851008,0,3,0
2444560358_1,49129,like,2444560358,1,1,0
1311333638345306112,49129,like,1311333638345306112,0,0,1
1474435935462957063,49129,like,1474435935462957063,0,2,0
921979840064032768,49201,like,921979840064032768,0,1,0
845625358032556034,49201,like,845625358032556034,0,0,1
1501160536368631816,49201,like,1501160536368631816,0,1,0
1233722429895258113,49201,like,1233722429895258113,0,2,0
982637476677373952_1,49201,like,982637476677373952,1,2,0
521796507,49201,like,521796507,0,1,0
1473026964000813071,49201,like,1473026964000813071,0,3,0
721593602359451649,49201,like,721593602359451649,0,2,0
528164507,49201,like,528164507,0,2,0
2704777343,49201,like,2704777343,0,0,1
826812859,49201,like,826812859,0,3,0
744302010,49201,like,744302010,0,0,1
1261214245632593920,49201,like,1261214245632593920,0,3,0
1432226820422840320,49201,like,1432226820422840320,0,2,0
1050220093710450688,49201,like,1050220093710450688,0,1,0
1636945081,49201,like,1636945081,0,2,0
1576495314,49201,like,1576495314,0,1,0
1157409399956234240_1,49201,like,1157409399956234240,1,0,0
1231225909870579713,49273,like,1231225909870579713,0,2,0
714106175562756096,49273,like,714106175562756096,0,2,0
798465320,49273,like,798465320,0,2,0
1433663748120752161,49273,like,1433663748120752161,0,2,0
1326336757739249668_1,49273,like,1326336757739249668,1,3,0
446476915,49273,like,446476915,0,1,0
969719179338170369,49273,like,969719179338170369,0,2,0
910133650154455040,49273,like,910133650154455040,0,2,0
1339326869502652418,49273,like,1339326869502652418,0,3,0
2943176458_1,49273,like,2943176458,1,2,0
917590303,49273,like,917590303,0,0,1
555581641,49273,like,555581641,0,1,0
848591581120794625_1,49273,like,848591581120794625,1,1,0
1001110369220415488,49273,like,1001110369220415488,0,3,0
776815796370677760,49345,like,776815796370677760,0,2,0
1599877156351447040_1,49345,like,1599877156351447040,1,1,0
756532365837602817,49345,like,756532365837602817,0,1,0
1588932509248561152,49345,like,1588932509248561152,0,0,1
2187427111_1,49345,like,2187427111,1,1,0
710643043129380864,49345,like,710643043129380864,0,2,0
981507237028999170,49345,like,981507237028999170,0,3,0
1153241058177945600,49345,like,1153241058177945600,0,1,0
59512741,49345,like,59512741,0,0,1
886280918712832000,49345,like,886280918712832000,0,2,0
1498289512866320388,49345,like,1498289512866320388,0,1,0
538020444,49345,like,538020444,0,2,0
1292873685448237056_1,49345,like,1292873685448237056,1,2,0
1473351869275717639,49345,like,1473351869275717639,0,0,1
50825090_1,49345,like,50825090,1,1,0
1276277345087864834_1,49345,like,1276277345087864834,1,2,0
1083437563,49417,like,1083437563,0,2,0
1607315971_1,49417,like,1607315971,1,1,0
1577390125197234184,49417,like,1577390125197234184,0,2,0
1358100477339193344,49417,like,1358100477339193344,0,4,0
1338663978621399040,49417,like,1338663978621399040,0,2,0
1633665781589262338,49417,like,1633665781589262338,0,0,1
985206898709450754,49417,like,985206898709450754,0,2,0
1039828244873322497,49417,like,1039828244873322497,0,2,0
446703712,49417,like,446703712,0,2,0
1621424313491505155,49417,like,1621424313491505155,0,2,0
3331772960_1,49417,like,3331772960,1,1,0
1445873748146491403,49417,like,1445873748146491403,0,2,0
277615760,49417,like,277615760,0,0,1
1131438950,49417,like,1131438950,0,0,1
1215742387298893824,49417,like,1215742387298893824,0,2,0
999310976414400512,49417,like,999310976414400512,0,2,0
407983338,49417,like,407983338,0,1,0
788392677578534912,49489,like,788392677578534912,0,3,0
340095616,49489,like,340095616,0,2,0
410562031,49489,like,410562031,0,2,0
55718307,49489,like,55718307,0,2,0
284298422,49489,like,284298422,0,2,0
210548735,49489,like,210548735,0,3,0
1400999313908682766,49489,like,1400999313908682766,0,1,0
917867928380461056,49489,like,917867928380461056,0,3,0
1438589691490709504_1,49489,like,1438589691490709504,1,2,0
3228137289,49489,like,3228137289,0,3,0
320755033,49489,like,320755033,0,1,0
1552725085101953025,49489,like,1552725085101953025,0,1,0
930796425293848576_1,49489,like,930796425293848576,1,1,0
277094617,49489,like,277094617,0,1,0
1580757816859574274,49489,like,1580757816859574274,0,0,1
1253817006849130504,49489,like,1253817006849130504,0,1,0
884044164001927168,49561,like,884044164001927168,0,3,0
925544850040217600,49561,like,925544850040217600,0,3,0
3245735747,49561,like,3245735747,0,1,0
1050025591863476224,49561,like,1050025591863476224,0,2,0
564283453,49561,like,564283453,0,3,0
2580426932,49561,like,2580426932,0,2,0
1464986928269438986,49561,like,1464986928269438986,0,3,0
1272775490458324993,49561,like,1272775490458324993,0,2,0
1481502272165191680,49561,like,1481502272165191680,0,2,0
893449882870185984,49561,like,893449882870185984,0,1,0
3327862481,49561,like,3327862481,0,0,1
