Source,Target,follower
1543274074297737221,1401862007335292932,1
1543274074297737221,1499205842,1
1543274074297737221,1576375089683210240,1
1543274074297737221,1583939008756940801,1
1543274074297737221,1487839995712913412,1
1543274074297737221,1304652035812462592,1
1543274074297737221,1056717222184448006,1
1543274074297737221,1579358903921319937,1
1543274074297737221,1324740006846423040,1
1543274074297737221,1573642700414484482,1
1543274074297737221,1341404955408785416,1
1543274074297737221,1102104889,1
1543274074297737221,1566088208697417729,1
1543274074297737221,1470134376969109508,1
1543274074297737221,1301488728070860802,1
1543274074297737221,1301488728070860802,1
1543274074297737221,1301488728070860802,1
1543274074297737221,1301488728070860802,1
1543274074297737221,1348068878652473344,1
1543274074297737221,1317721729762914304,1
1543274074297737221,1479938388778180609,1
1543274074297737221,1534920633020203010,1
1543274074297737221,1380264106318561286,1
1543274074297737221,1336368848757534720,1
1543274074297737221,1336368848757534720,1
1543274074297737221,1485432448683024387,1
1543274074297737221,1552409677496991745,1
1543274074297737221,1192168345606471680,1
1543274074297737221,1184814992882683904,1
1543274074297737221,1558326817395822592,1
1543274074297737221,1560672030495854593,1
1543274074297737221,1566037459640520706,1
1543274074297737221,1445453298853572612,1
1543274074297737221,2496179814,1
1543274074297737221,1541424710587654151,1
1543274074297737221,1435080379535433729,1
1543274074297737221,1435396386665664513,1
1543274074297737221,1285514564642017280,1
1543274074297737221,1579358903921319937,1
1551629559195652096,1543274074297737221,1
1551629559195652096,1472922105834459137,1
1551629559195652096,1226195797307535361,1
1551629559195652096,1300900272496144386,1
1551629559195652096,1613594907184070666,1
1551629559195652096,1499522267222532100,1
1551629559195652096,1166931615240663040,1
1551629559195652096,1271070955255861248,1
1551629559195652096,1576409796462395392,1
1551629559195652096,1391417362855907328,1
1551629559195652096,1027244697213972481,1
1551629559195652096,1515885350866018304,1
1551629559195652096,1510344725559230464,1
1551629559195652096,1522310622121054211,1
1551629559195652096,1506423107308900363,1
1551629559195652096,1551855818857148416,1
1551629559195652096,1601298406525308930,1
1551629559195652096,1576375089683210240,1
1551629559195652096,1552409677496991745,1
1551629559195652096,1566159228284182528,1
1303390492202274816,888026243550990336,1
1563073386762252288,51863154,1
