Source,Target,T1610105053498449920,T1606110907838316544,T1604653731873800194,T1604179897274011652,T1597648648531505152
killahdexx,BusterEriksson,1,2,1,2,1
ATLChamps2022,TheKnicksWall,2,1,1,2,1
chewingaqua,NBA_NewYork,1,2,1,1,1
maxplswin,NewYorkForeverM,1,1,1,2,1
VladimirLik,victorrasuk,2,1,1,1,1
TheMafiaKing101,ligsNY,2,1,1,1,1
Boricuayankee1,LetsTalkKnicks_,2,1,1,1,1
OwnedbyJacoby,nyknicks,2,1,1,1,1
Amoney_05,TheKnicksWall,2,1,1,1,1
degeneratejackk,nyknicks,1,1,1,2,1
sammyhaziq,nyknicks,2,2,2,2,2
TeamZenon,UncleLace,2,1,1,1,1
DubsForever30,avlev124,2,1,1,1,1
patrickbuzzell,TheNBPA,2,1,1,1,1
majorisnotreal,nyknicks,1,1,2,1,1
TheNRHour_,TheNBPA,2,1,1,1,1
vasquez_nicolem,cboesib,2,1,1,1,1
XIIIsicnarF,TheKnicksWall,2,1,1,1,1
Spencz1997,Hayden_Backlund,2,1,1,1,1
bharriger28,clh14210,2,1,1,1,1
MFZOOM12,NBA_NewYork,1,1,1,2,1
JusCallMeLani,LetsTalkKnicks_,1,1,1,1,2
King788970091,nyknicks,2,2,2,2,2
Mark_Gawenus,nyknicks,1,1,1,2,1
GrassRootSportz,TheNBPA,2,1,1,1,1
whoisoriginel,LetsTalkKnicks_,1,2,1,1,1
ElWormy,nyknicks,2,1,1,1,1
dann_thee_man,TheNBPA,2,1,1,1,1
nba__taichi,LetsTalkKnicks_,1,1,1,2,1
BradyAustin98,LetsTalkKnicks_,2,2,2,2,2
Bossladi_1212,TheNBPA,2,1,1,1,1
Andrew_Costley,NBA_NewYork,1,1,2,1,1
itsmeRiriMo,nyknicks,2,1,2,1,1
gabeparra07,nyknicks,1,1,1,2,1
claudiodijo,nyknicks,2,1,1,1,1
kingkhamba,TheNBPA,2,1,1,1,1
jonahrosss,TheKnicksWall,1,1,1,2,1
__B3RT,TheKnicksWall,2,1,1,1,1
BUFSportsTalk,clh14210,2,1,1,1,1
TZiefert,NBA_NewYork,1,1,1,2,1
RoomanZahid1,avlev124,2,1,1,1,1
iamGhOsT_Davis,TheNBPA,2,1,1,1,1
SATC_Addict,TheNBPA,2,1,1,1,1
RatchetSmurf,LetsTalkKnicks_,2,1,1,1,1
marL0wE,NBA_NewYork,2,2,2,2,2
LeDamianBurner,avlev124,2,1,1,1,1
ChristopherSpad,nyknicks,2,1,1,1,1
Chiefs_Kingdom_,TheNBPA,2,1,1,2,1
Dattfranco,weshjazz,1,2,1,1,1
LataviusBolden,nyknicks,1,1,1,2,1
elits02,ElfassyLevi,2,1,1,1,1
allmy_NY_blues,NBA_NewYork,1,2,1,1,1
MannyUSoDope,nyknicks,1,1,1,2,1
CoolKidShawn,TheNBPA,2,1,1,1,1
AJ_BornReady423,TheKnicksWall,1,1,1,2,1
DorothyJGentry,TheNBPA,2,1,1,1,1
kingboog__,nyknicks,1,1,1,2,1
FutureNBA0wner,Justustalking2,2,1,1,1,1
VictorSharma12,LetsTalkKnicks_,2,2,1,2,1
NYGreenMachine,LetsTalkKnicks_,2,1,1,1,1
ChandlerJourdan,nyknicks,2,1,1,1,1
LC_BANKS_,nyknicks,1,1,1,2,1
lightskinnednig,TheNBPA,1,1,1,2,1
_asaprebel,NBA_NewYork,1,2,1,1,1
IvannFlorian,nyknicks,1,1,1,2,1
DennisUltima,nyknicks,1,1,1,2,1
HaiderA35,NBA_NewYork,1,2,1,1,1
harden_ken,TheNBPA,1,1,1,2,1
caterpillareye,NBA_NewYork,1,2,1,1,1
DavidOrehosky,NBA_NewYork,2,1,1,1,1
Ivan_J_Lucero,TheNBPA,2,1,1,1,1
gsauce99,nyknicks,1,1,1,2,1
Equint77,DappperMax,1,1,2,2,1
juanteztiqal,nyknicks,1,2,2,1,2
Krichard413,TheKnicksWall,1,1,1,2,1
Z3r0_Time,LetsTalkKnicks_,1,2,1,1,1
myfine100,nyknicks,1,1,1,2,1
joey10_,NBA_NewYork,1,1,1,2,1
KevinMcKeonJr,nyknicks,1,1,2,1,1
Stackj1994,nyknicks,2,1,1,1,1
nygiantsfan717,nyknicks,2,1,1,1,1
HaydenFried,nyknicks,1,1,1,2,1
PattySprewell,BrownsvilleNYK,1,2,1,1,1
Sayed_Skywalker,LetsTalkKnicks_,1,2,1,1,1
MikeyC_93,nyknicks,1,1,1,2,1
mattkomi34,nyknicks,2,1,1,1,1
JosephWilliamQ3,nyknicks,1,1,1,2,1
Cookedbynobody,avlev124,2,1,1,1,1
mostcallmecoach,TheKnicksWall,2,1,1,1,1
RodFerreiraBFR,TheKnicksWall,2,1,1,1,1
PisiReyes,matt12r,2,1,1,1,1
BigLevelsDriver,reedreadreid,1,1,1,2,1
nick__cipolla,TheKnicksWall,1,1,1,2,1
AdamFoxYaMotha,avlev124,2,1,1,1,1
PaulSeery6,BigKnickEnergy_,1,1,1,2,1
Haz_Pundaz,TheNBPA,2,1,1,1,1
YFF_Mel,Lord__Steez,2,1,1,1,1
Mota_Gilbert,nyknicks,1,1,2,1,1
Air_Jay13,NBA_NewYork,1,2,1,1,1
NCanny2,RIPOPSMOKE,1,1,1,2,1
KRISPY_KREME23,TheKnicksWall,1,1,2,2,1
Habino_,NBA_NewYork,2,1,1,1,1
DailySabonis,NBA_NewYork,2,2,2,2,2
echoisthename,LetsTalkKnicks_,1,1,1,2,1
nato_base,NBA_NewYork,1,2,1,1,1
BlackHeartCris,nyknicks,1,1,2,2,1
Hi_Its_Vincent,tottisharp,2,1,1,1,1
MannyAda9988197,anthonylupini,1,1,1,2,1
NicoloPicolo123,NBA_NewYork,1,2,1,1,1
soupboy888,nyknicks,1,1,1,2,1
Bsweeney108,TheKnicksWall,1,1,2,1,1
SchlongJimmy,nyknicks,1,1,1,2,1
JonesBeliever,TheKnicksWall,2,1,1,1,1
TreyBrewer1503,avlev124,2,1,1,1,1
allmoneyinchris,LetsTalkKnicks_,1,2,1,2,1
kylecohenNBA,knicks81,1,2,1,1,1
Kadake2242,TheNBPA,2,1,1,1,1
MrChristian__,nyknicks,1,1,2,1,1
BKelly1123,TheKnicksWall,1,1,1,2,1
mattmittenthal,TheKnicksWall,1,1,1,2,1
maurluna,nyknicks,1,1,1,2,1
tree33251,_zachblatter,1,2,1,1,1
cynicalknicks,FlightRap32,1,1,1,2,1
iamterrancew,TheKnicksWall,2,1,1,1,1
Migwell1231,nyknicks,2,1,1,1,1
Knicks_Sushi,NBA_NewYork,1,1,1,2,1
NathanBarry9,nyknicks,2,1,1,1,1
TommyBeer,NBA_NewYork,1,1,1,2,2
Freemelly1,NBA_NewYork,2,1,1,1,1
ralph_goduco,nyknicks,1,1,1,2,1
Reyes_knicks,TheKnicksWall,2,2,2,2,2
phantoonie,nyknicks,1,1,1,2,1
_stamen,TheKnicksWall,1,1,1,2,1
MarkLoreal13,nyknicks,1,1,1,2,1
shotnewyork33,NBA_NewYork,1,1,2,1,1
GenerousChris,kyleneptune,1,1,1,2,1
Spirit_of_a_G,NBA_NewYork,2,1,1,1,1
anthony22fk,TheKnicksWall,1,1,1,2,1
Obolatcan24,nyknicks,1,2,1,1,1
jackg251,TheKnicksWall,2,1,1,1,1
Don1396,NewYorkForeverM,1,1,1,2,1
StonedReacts,avlev124,2,1,1,1,1
stevenkyle64,nyknicks,2,1,1,1,1
boriyank,LetsTalkKnicks_,1,1,2,2,1
HaydenHunter_12,NBA_NewYork,1,2,1,1,1
BostonKnick,FlightRap32,2,1,1,1,1
aesposito1,nyknicks,1,1,1,2,1
AhsokaMaximoff,avlev124,2,1,1,1,1
Ms_JmeK,TheNBPA,2,1,1,1,1
CheetahKing_800,nyknicks,2,2,2,1,2
danvelasco__,ShuaibA12,1,1,1,2,1
SillyAwesome,LetsTalkKnicks_,2,2,2,1,2
emmvko,nyknicks,1,2,1,1,1
mattorellana95,nyknicks,1,1,1,2,1
CTdaps,nyknicks,1,1,1,2,1
FoySauce7,nyknicks,1,1,1,2,1
YoungJuss,NBA_NewYork,2,1,1,1,1
nickgen128,LetsTalkKnicks_,1,2,1,2,1
NewYorkCapone,LetsTalkKnicks_,1,1,1,2,1
Freedaoliver11,nyknicks,2,1,1,1,1
NonGoatGuy,NBA_NewYork,1,1,1,2,1
jacksun348,nyknicks,1,1,1,2,1
ecint2,TheNBPA,2,1,1,1,1
EriqueFernando,LetsTalkKnicks_,1,2,2,1,2
yasinthagreat,nyknicks,1,1,1,2,1
SoySuggar,NBA_NewYork,1,2,1,1,1
zelens0,LetsTalkKnicks_,1,1,1,2,1
ahhzure,NBA_NewYork,2,2,2,1,2
RicanJuan,nyknicks,1,1,2,1,1
geoff_boy_ardee,BrownsvilleNYK,2,1,1,1,2
DopeKidNextDoor,nyknicks,1,1,2,1,1
CoreasBenjamin,TheKnicksWall,2,1,1,1,1
JohnFranco132,TheKnicksWall,1,1,2,1,1
TomZbranak,nyknicks,1,1,1,2,1
