Target,Source
1032424208398053377,1449441373
1032424208398053377,1700437087
1032436810809364480,1543274074297737221
1032578507828674560,1543274074297737221
1032647242245656576,1543274074297737221
1032652342125096960,1543274074297737221
1032661351397838848,1543274074297737221
1032710717697417216,1543274074297737221
1032757228552503298,1341842469303054337
1032757228552503298,1182374534172893191
1032839359873961990,1543274074297737221
103304858,26468615
1033086820588892160,1361706062575927301
1033251302904496129,1543274074297737221
1033278643999363072,1543274074297737221
1033381215624155137,1543274074297737221
1033424965301948419,724840995607695361
1033424965301948419,1191458453274935297
1033424965301948419,839052609352683521
1033424965301948419,1367094360291086337
1033424965301948419,1217970494336589825
1033432066489106434,1543274074297737221
1033717979014410241,1543274074297737221
1034002996890361856,1543274074297737221
1034112826409807872,1543274074297737221
1034258427340443648,1543274074297737221
1034398686212771842,1543274074297737221
1034483406636232705,1057144387
1034521290235961344,1543274074297737221
1034597742008590341,1543274074297737221
1034663794075623424,1543274074297737221
1034761171,1543274074297737221
1034866952068460544,1543274074297737221
1035058161521123329,802362747228798976
1035126731374350337,3246918007
1035161383208411137,1043074718256050176
1035279876402696193,1543274074297737221
1035299424,1025830629269749760
1035299424,192517922
1035518383561699328,1543274074297737221
1035622345032036352,1022033318257352704
1035622345032036352,1268379968876273669
1035840598173859840,1543274074297737221
103620916,1543274074297737221
1036624182522638336,1543274074297737221
1036960478281588736,1543274074297737221
1037086175616540672,1255149680515637255
1037086175616540672,1292792114804224002
1037424013,1543274074297737221
1037459623635308544,1543274074297737221
1037544720,2935749965
1037752338180653057,1543274074297737221
1037930311,1543274074297737221
1038180841934020608,1543274074297737221
1038442602524303360,4822031675
1038442602524303360,1131413807153049601
1038445847975841797,3650556859
1038445847975841797,782095958
1038456573054541824,2829865032
1038764337203007489,1543274074297737221
1038852622214725632,1543274074297737221
1038879612611133440,2529741157
1039064591416754177,739417928781549568
1039292402442399745,1543274074297737221
1039336565439250437,1293433605507538945
1039374614323851264,1543274074297737221
103941627,1543274074297737221
1039535104052346881,1543274074297737221
1039538854213181440,1543274074297737221
1039701908045418497,1543274074297737221
1039703340492484614,1543274074297737221
1039808748980596736,1543274074297737221
1040064470,1543274074297737221
1040079183987142657,1543274074297737221
1040382979330256897,1543274074297737221
1040547807801688064,1543274074297737221
1040622490995896320,1543274074297737221
1040674709266997251,724840995607695361
1040674709266997251,2915176213
1040778480370307072,1543274074297737221
1040946466234097665,1543274074297737221
1040989388807827456,1543274074297737221
1041004356177297410,1543274074297737221
1041088542829535232,1543274074297737221
1041102129589444609,1548323550410391552
1041102129589444609,1434647992489885699
1041373939207856128,1543274074297737221
1041820092,1543274074297737221
1042112656407064576,1543274074297737221
1042128615142580224,1543274074297737221
1042136809487130625,1543274074297737221
1042142167853162498,1543274074297737221
1042185472833937409,1543274074297737221
1042245833964576768,1543274074297737221
1042282424,1543274074297737221
1042298046,1543274074297737221
1042319191540420608,1543274074297737221
1042643683,2790478553
1042814404482490368,1543274074297737221
1043003568138014720,1543274074297737221
1043074718256050176,1241657183659417601
1043074718256050176,1035161383208411137
1043424516775596033,1543274074297737221
1043442020713291777,1543274074297737221
1043525286103605248,1543274074297737221
1043536860067385346,1543274074297737221
1043576166194528256,1543274074297737221
1043983048994410497,1543274074297737221
1044094518088261632,1543274074297737221
1044243199,1251836859061174279
1044360895789445120,1543274074297737221
1044681226328698881,1543274074297737221
1044814069230960641,1242626896971599872
1044818773453213696,1543274074297737221
1044879175671263234,1543274074297737221
1044961142689468416,1543274074297737221
1045073988957822976,1543274074297737221
1045247737841606656,1543274074297737221
1045475206054248448,1125322121511489536
1045475206054248448,1372026370520461314
1045475206054248448,1383295222650609669
1045551799678074880,1543274074297737221
1045558683189440514,1543274074297737221
1045742038610825221,1543274074297737221
1045858268801847301,1543274074297737221
1046147141675241472,1543274074297737221
104618013,1543274074297737221
1046284326118121472,1135141639054172161
1046284326118121472,4133966008
1046284326118121472,1303731320825221120
1046284326118121472,1567735776149897216
1046284326118121472,1324740006846423040
1046284326118121472,1302153897243553792
1046284326118121472,1184814992882683904
1046284326118121472,1473753129908908035
1046284326118121472,1479938388778180609
1046284326118121472,814498479267606531
1046284326118121472,1306597194561019910
1046519703181701120,1543274074297737221
1046559674,1543274074297737221
1046762732354240513,1543274074297737221
1046877010012884992,1543274074297737221
1047042898473168898,885385800426323968
1047042898473168898,1524018627552370692
1047042898473168898,1306284347658579970
1047337093343657984,1543274074297737221
1047501180056694784,1543274074297737221
1047628233695539201,1543274074297737221
1047732516558462976,286951978
1047858749770280960,407436562
1048166023,1543274074297737221
1048358328,1517103015211462656
